zip,type,decommissioned,primary_city,acceptable_cities,unacceptable_cities,state,county,timezone,area_codes,world_region,country,latitude,longitude,irs_estimated_population_2015
16914,STANDARD,0,Columbia Cross Roads,Columbia X Rd,Austinville-Big Pond-Col X Rds-Snedekerville-Wetona,PA,Bradford County,America/New_York,570,NA,US,41.83,-76.8,2130
16915,STANDARD,0,Coudersport,Oswayo,Colesburg-Eulalia-Homer-Inez-Ladona-Mina-Odin-Summit-Sweden-Sweden Valley,PA,Potter County,America/New_York,814,NA,US,41.77,-78.01,5040
16917,STANDARD,0,Covington,,Covngtn,PA,Tioga County,America/New_York,570,NA,US,41.74,-77.07,1380
16920,STANDARD,0,Elkland,,,PA,Tioga County,America/New_York,814,NA,US,41.98,-77.31,1570
16921,STANDARD,0,Gaines,,Elk-Manhattan-Marshlands-Rexford-Watrous,PA,Tioga County,America/New_York,,NA,US,41.78,-77.54,480
16922,STANDARD,0,Galeton,,Abbott-Carter Camp-West Branch-West Pike,PA,Potter County,America/New_York,814,NA,US,41.73,-77.64,1630
16923,STANDARD,0,Genesee,North Bingham,Eleven Mile-Ellisburg-Gold-Hickox-Keech-Kinney-Raymond-West Bingham,PA,Potter County,America/New_York,814,NA,US,41.98,-77.9,1170
16925,STANDARD,0,Gillett,,Bentley Creek-Berrytown-Fassett-Mosherville-South Creek-Wells,PA,Bradford County,America/New_York,570,NA,US,41.95,-76.79,3050
16926,STANDARD,0,Granville Summit,Granville Smt,Cowley-Granville Ctr-Windfall,PA,Bradford County,America/New_York,570,NA,US,41.71,-76.77,790
16927,STANDARD,0,Harrison Valley,Harrison Vly-Westfield,Harrison-Harrison Twp,PA,Potter County,America/New_York,814,NA,US,41.96,-77.66,470
16928,STANDARD,0,Knoxville,,Austinburg-Deerfield,PA,Tioga County,America/New_York,814,NA,US,41.95,-77.43,1170
16929,STANDARD,0,Lawrenceville,,E Lawrencevle-Somers Lane,PA,Tioga County,America/New_York,570,NA,US,41.99,-77.12,2060
16930,STANDARD,0,Liberty,,Hartsfield-Sebring,PA,Tioga County,America/New_York,570,NA,US,41.55,-77.1,1240
16932,STANDARD,0,Mainesburg,,Sullivan,PA,Tioga County,America/New_York,570,NA,US,41.78,-76.94,670
16933,STANDARD,0,Mansfield,,Bungy-Canoe Camp-Cherry Flats-E Charleston-Kellytown-Lambs Creek-Rutland-Whitneyville,PA,Tioga County,America/New_York,570,NA,US,41.8,-77.07,4910
16935,STANDARD,0,Middlebury Center,Middlebry Ctr,Crooked Creek-Keeneyville-Mdby Center-Middlebury-Niles Valley-Shortsville,PA,Tioga County,America/New_York,570,NA,US,41.89,-77.3,1170
16936,STANDARD,0,Millerton,,Daggett-Jackson Smt-Jobs Corners,PA,Tioga County,America/New_York,570,NA,US,41.98,-76.95,1910
